model,condition,challenge_type,false_fill_rate,null_recall,distractor_error_rate,supported_accuracy,field_faithfulness_rate
LiquidAI/LFM2.5-230M@robust-r2,C3,MISSING,0.12,0.88,,0.51125,0.585
LiquidAI/LFM2.5-230M@robust-r2,C3,SUPPORTED,,,,0.954,0.954
LiquidAI/LFM2.5-230M@robust-r3,C0,AMBIGUOUS,1.0,0.0,,0.95625,0.765
LiquidAI/LFM2.5-230M@robust-r3,C0,CONTRADICTORY,1.0,0.0,,0.99125,0.793
LiquidAI/LFM2.5-230M@robust-r3,C0,DISTRACTOR,,,0.0,0.98375,0.983
LiquidAI/LFM2.5-230M@robust-r3,C0,MISSING,0.245,0.755,,0.97,0.927
LiquidAI/LFM2.5-230M@robust-r3,C0,SUPPORTED,,,,0.993,0.993
LiquidAI/LFM2.5-230M@robust-r3,C3,AMBIGUOUS,0.565,0.435,,0.5575,0.533
LiquidAI/LFM2.5-230M@robust-r3,C3,CONTRADICTORY,0.0,1.0,,0.0,0.2
LiquidAI/LFM2.5-230M@robust-r3,C3,DISTRACTOR,,,0.0,0.51875,0.517
LiquidAI/LFM2.5-230M@robust-r3,C3,MISSING,0.15,0.85,,0.51375,0.581
LiquidAI/LFM2.5-230M@robust-r3,C3,SUPPORTED,,,,0.928,0.928
LiquidAI/LFM2.5-350M@robust-r1,C0,AMBIGUOUS,0.995,0.005,,0.85,0.681
LiquidAI/LFM2.5-350M@robust-r1,C0,CONTRADICTORY,0.73,0.27,,0.965,0.826
LiquidAI/LFM2.5-350M@robust-r1,C0,DISTRACTOR,,,0.08,0.82125,0.825
LiquidAI/LFM2.5-350M@robust-r1,C0,MISSING,0.44,0.56,,0.8575,0.798
LiquidAI/LFM2.5-350M@robust-r1,C0,SUPPORTED,,,,0.927,0.927
LiquidAI/LFM2.5-350M@robust-r1,C3,AMBIGUOUS,1.0,0.0,,1.0,0.8
LiquidAI/LFM2.5-350M@robust-r1,C3,CONTRADICTORY,0.92,0.08,,0.99375,0.811
LiquidAI/LFM2.5-350M@robust-r1,C3,DISTRACTOR,,,0.0,1.0,1.0
LiquidAI/LFM2.5-350M@robust-r1,C3,MISSING,0.25,0.75,,1.0,0.95
LiquidAI/LFM2.5-350M@robust-r1,C3,SUPPORTED,,,,1.0,1.0
LiquidAI/LFM2.5-350M@robust-r2,C0,AMBIGUOUS,1.0,0.0,,0.8625,0.69
LiquidAI/LFM2.5-350M@robust-r2,C0,CONTRADICTORY,0.73,0.27,,0.96375,0.825
LiquidAI/LFM2.5-350M@robust-r2,C0,DISTRACTOR,,,0.07,0.84,0.843
LiquidAI/LFM2.5-350M@robust-r2,C0,MISSING,0.45,0.55,,0.86375,0.801
LiquidAI/LFM2.5-350M@robust-r2,C0,SUPPORTED,,,,0.928,0.928
LiquidAI/LFM2.5-350M@robust-r2,C3,AMBIGUOUS,0.995,0.005,,1.0,0.801
LiquidAI/LFM2.5-350M@robust-r2,C3,CONTRADICTORY,0.915,0.085,,0.99375,0.812
LiquidAI/LFM2.5-350M@robust-r2,C3,DISTRACTOR,,,0.0,1.0,1.0
LiquidAI/LFM2.5-350M@robust-r2,C3,MISSING,0.255,0.745,,1.0,0.949
LiquidAI/LFM2.5-350M@robust-r2,C3,SUPPORTED,,,,1.0,1.0
LiquidAI/LFM2.5-350M@robust-r3,C0,AMBIGUOUS,1.0,0.0,,0.855,0.684
LiquidAI/LFM2.5-350M@robust-r3,C0,CONTRADICTORY,0.73,0.27,,0.96375,0.825
LiquidAI/LFM2.5-350M@robust-r3,C0,DISTRACTOR,,,0.08,0.8325,0.835
LiquidAI/LFM2.5-350M@robust-r3,C0,MISSING,0.43,0.57,,0.8625,0.804
LiquidAI/LFM2.5-350M@robust-r3,C0,SUPPORTED,,,,0.925,0.925
LiquidAI/LFM2.5-350M@robust-r3,C3,AMBIGUOUS,1.0,0.0,,1.0,0.8
LiquidAI/LFM2.5-350M@robust-r3,C3,CONTRADICTORY,0.91,0.09,,0.99375,0.813
LiquidAI/LFM2.5-350M@robust-r3,C3,DISTRACTOR,,,0.0,1.0,1.0
LiquidAI/LFM2.5-350M@robust-r3,C3,MISSING,0.245,0.755,,1.0,0.951
LiquidAI/LFM2.5-350M@robust-r3,C3,SUPPORTED,,,,1.0,1.0
Qwen/Qwen3-0.6B@robust-r1,C0,AMBIGUOUS,0.24,0.76,,0.98,0.936
Qwen/Qwen3-0.6B@robust-r1,C0,CONTRADICTORY,0.41,0.59,,0.85125,0.799
Qwen/Qwen3-0.6B@robust-r1,C0,DISTRACTOR,,,0.0,0.99875,0.997
Qwen/Qwen3-0.6B@robust-r1,C0,MISSING,0.0,1.0,,0.8775,0.902
Qwen/Qwen3-0.6B@robust-r1,C0,SUPPORTED,,,,0.989,0.989
Qwen/Qwen3-0.6B@robust-r1,C3,AMBIGUOUS,0.205,0.795,,0.785,0.787
Qwen/Qwen3-0.6B@robust-r1,C3,CONTRADICTORY,0.0,1.0,,0.69875,0.759
Qwen/Qwen3-0.6B@robust-r1,C3,DISTRACTOR,,,0.0,0.7475,0.748
Qwen/Qwen3-0.6B@robust-r1,C3,MISSING,0.0,1.0,,0.79625,0.837
Qwen/Qwen3-0.6B@robust-r1,C3,SUPPORTED,,,,0.83,0.83
Qwen/Qwen3-0.6B@robust-r2,C0,AMBIGUOUS,0.24,0.76,,0.98125,0.937
Qwen/Qwen3-0.6B@robust-r2,C0,CONTRADICTORY,0.42,0.58,,0.85625,0.801
Qwen/Qwen3-0.6B@robust-r2,C0,DISTRACTOR,,,0.0,0.99875,0.995
Qwen/Qwen3-0.6B@robust-r2,C0,MISSING,0.0,1.0,,0.8725,0.898
Qwen/Qwen3-0.6B@robust-r2,C0,SUPPORTED,,,,0.99,0.99
Qwen/Qwen3-0.6B@robust-r2,C3,AMBIGUOUS,0.215,0.785,,0.79625,0.794
Qwen/Qwen3-0.6B@robust-r2,C3,CONTRADICTORY,0.01,0.99,,0.69625,0.755
Qwen/Qwen3-0.6B@robust-r2,C3,DISTRACTOR,,,0.0,0.73875,0.74
Qwen/Qwen3-0.6B@robust-r2,C3,MISSING,0.0,1.0,,0.79,0.832
Qwen/Qwen3-0.6B@robust-r2,C3,SUPPORTED,,,,0.838,0.838
Qwen/Qwen3-0.6B@robust-r3,C0,AMBIGUOUS,0.24,0.76,,0.9825,0.938
Qwen/Qwen3-0.6B@robust-r3,C0,CONTRADICTORY,0.425,0.575,,0.84875,0.794
Qwen/Qwen3-0.6B@robust-r3,C0,DISTRACTOR,,,0.0,0.99875,0.996
Qwen/Qwen3-0.6B@robust-r3,C0,MISSING,0.0,1.0,,0.87375,0.899
Qwen/Qwen3-0.6B@robust-r3,C0,SUPPORTED,,,,0.987,0.987
Qwen/Qwen3-0.6B@robust-r3,C3,AMBIGUOUS,0.21,0.79,,0.79375,0.793
Qwen/Qwen3-0.6B@robust-r3,C3,CONTRADICTORY,0.01,0.99,,0.7,0.758
Qwen/Qwen3-0.6B@robust-r3,C3,DISTRACTOR,,,0.0,0.755,0.761
Qwen/Qwen3-0.6B@robust-r3,C3,MISSING,0.0,1.0,,0.78375,0.827
Qwen/Qwen3-0.6B@robust-r3,C3,SUPPORTED,,,,0.834,0.834
Qwen/Qwen3.5-0.8B@robust-r1,C0,AMBIGUOUS,0.305,0.695,,0.97875,0.922
Qwen/Qwen3.5-0.8B@robust-r1,C0,CONTRADICTORY,0.59,0.41,,0.9725,0.86
Qwen/Qwen3.5-0.8B@robust-r1,C0,DISTRACTOR,,,0.0,0.99125,0.991
Qwen/Qwen3.5-0.8B@robust-r1,C0,MISSING,0.0,1.0,,0.9425,0.954
Qwen/Qwen3.5-0.8B@robust-r1,C0,SUPPORTED,,,,0.971,0.971
Qwen/Qwen3.5-0.8B@robust-r1,C3,AMBIGUOUS,0.33,0.67,,0.98625,0.923
Qwen/Qwen3.5-0.8B@robust-r1,C3,CONTRADICTORY,0.995,0.005,,0.99875,0.8
Qwen/Qwen3.5-0.8B@robust-r1,C3,DISTRACTOR,,,0.0,0.99875,0.998
Qwen/Qwen3.5-0.8B@robust-r1,C3,MISSING,0.0,1.0,,0.94,0.952
Qwen/Qwen3.5-0.8B@robust-r1,C3,SUPPORTED,,,,0.959,0.959
Qwen/Qwen3.5-0.8B@robust-r2,C0,AMBIGUOUS,0.315,0.685,,0.97875,0.92
Qwen/Qwen3.5-0.8B@robust-r2,C0,CONTRADICTORY,0.595,0.405,,0.975,0.861
Qwen/Qwen3.5-0.8B@robust-r2,C0,DISTRACTOR,,,0.0,0.99,0.989
Qwen/Qwen3.5-0.8B@robust-r2,C0,MISSING,0.0,1.0,,0.94,0.952
Qwen/Qwen3.5-0.8B@robust-r2,C0,SUPPORTED,,,,0.964,0.964
Qwen/Qwen3.5-0.8B@robust-r2,C3,AMBIGUOUS,0.355,0.645,,0.98625,0.918
Qwen/Qwen3.5-0.8B@robust-r2,C3,CONTRADICTORY,0.985,0.015,,0.99,0.795
Qwen/Qwen3.5-0.8B@robust-r2,C3,DISTRACTOR,,,0.0,1.0,0.999
Qwen/Qwen3.5-0.8B@robust-r2,C3,MISSING,0.0,1.0,,0.93625,0.949
Qwen/Qwen3.5-0.8B@robust-r2,C3,SUPPORTED,,,,0.957,0.957
Qwen/Qwen3.5-0.8B@robust-r3,C0,AMBIGUOUS,0.3,0.7,,0.98375,0.927
Qwen/Qwen3.5-0.8B@robust-r3,C0,CONTRADICTORY,0.595,0.405,,0.96875,0.856
Qwen/Qwen3.5-0.8B@robust-r3,C0,DISTRACTOR,,,0.0,0.99,0.988
Qwen/Qwen3.5-0.8B@robust-r3,C0,MISSING,0.0,1.0,,0.9425,0.954
Qwen/Qwen3.5-0.8B@robust-r3,C0,SUPPORTED,,,,0.97,0.97
Qwen/Qwen3.5-0.8B@robust-r3,C3,AMBIGUOUS,0.375,0.625,,0.99125,0.918
Qwen/Qwen3.5-0.8B@robust-r3,C3,CONTRADICTORY,0.99,0.01,,0.99,0.794
Qwen/Qwen3.5-0.8B@robust-r3,C3,DISTRACTOR,,,0.0,1.0,0.998
Qwen/Qwen3.5-0.8B@robust-r3,C3,MISSING,0.0,1.0,,0.9375,0.95
Qwen/Qwen3.5-0.8B@robust-r3,C3,SUPPORTED,,,,0.96,0.96
google/functiongemma-270m-it@robust-r1,C0,AMBIGUOUS,0.485,0.515,,0.64375,0.618
google/functiongemma-270m-it@robust-r1,C0,CONTRADICTORY,0.97,0.03,,0.88625,0.715
google/functiongemma-270m-it@robust-r1,C0,DISTRACTOR,,,0.055,0.9425,0.932
google/functiongemma-270m-it@robust-r1,C0,MISSING,0.17,0.83,,0.95625,0.931
google/functiongemma-270m-it@robust-r1,C0,SUPPORTED,,,,0.954,0.954
google/functiongemma-270m-it@robust-r1,C3,AMBIGUOUS,0.0,1.0,,0.0,0.2
google/functiongemma-270m-it@robust-r1,C3,CONTRADICTORY,0.0,1.0,,0.0,0.2
google/functiongemma-270m-it@robust-r1,C3,DISTRACTOR,,,0.0,0.0,0.0
google/functiongemma-270m-it@robust-r1,C3,MISSING,0.0,1.0,,0.0,0.2
google/functiongemma-270m-it@robust-r1,C3,SUPPORTED,,,,0.0,0.0
google/functiongemma-270m-it@robust-r2,C0,AMBIGUOUS,0.485,0.515,,0.65,0.623
google/functiongemma-270m-it@robust-r2,C0,CONTRADICTORY,0.945,0.055,,0.8875,0.721
google/functiongemma-270m-it@robust-r2,C0,DISTRACTOR,,,0.055,0.95,0.938
google/functiongemma-270m-it@robust-r2,C0,MISSING,0.16,0.84,,0.96375,0.939
google/functiongemma-270m-it@robust-r2,C0,SUPPORTED,,,,0.954,0.954
google/functiongemma-270m-it@robust-r2,C3,AMBIGUOUS,0.0,1.0,,0.0,0.2
google/functiongemma-270m-it@robust-r2,C3,CONTRADICTORY,0.0,1.0,,0.0,0.2
google/functiongemma-270m-it@robust-r2,C3,DISTRACTOR,,,0.0,0.0,0.0
google/functiongemma-270m-it@robust-r2,C3,MISSING,0.0,1.0,,0.0,0.2
google/functiongemma-270m-it@robust-r2,C3,SUPPORTED,,,,0.0,0.0
google/functiongemma-270m-it@robust-r3,C0,AMBIGUOUS,0.485,0.515,,0.645,0.619
google/functiongemma-270m-it@robust-r3,C0,CONTRADICTORY,0.955,0.045,,0.8825,0.715
google/functiongemma-270m-it@robust-r3,C0,DISTRACTOR,,,0.045,0.94875,0.939
google/functiongemma-270m-it@robust-r3,C0,MISSING,0.15,0.85,,0.955,0.934
google/functiongemma-270m-it@robust-r3,C0,SUPPORTED,,,,0.958,0.958
google/functiongemma-270m-it@robust-r3,C3,AMBIGUOUS,0.0,1.0,,0.0,0.2
google/functiongemma-270m-it@robust-r3,C3,CONTRADICTORY,0.0,1.0,,0.0,0.2
google/functiongemma-270m-it@robust-r3,C3,DISTRACTOR,,,0.0,0.0,0.0
google/functiongemma-270m-it@robust-r3,C3,MISSING,0.0,1.0,,0.0,0.2
google/functiongemma-270m-it@robust-r3,C3,SUPPORTED,,,,0.0,0.0
ibm-granite/granite-4.0-350m@robust-r1,C0,AMBIGUOUS,0.63,0.37,,0.94375,0.829
ibm-granite/granite-4.0-350m@robust-r1,C0,CONTRADICTORY,0.96,0.04,,0.955,0.772
ibm-granite/granite-4.0-350m@robust-r1,C0,DISTRACTOR,,,0.0,0.98625,0.985
ibm-granite/granite-4.0-350m@robust-r1,C0,MISSING,0.245,0.755,,0.97625,0.932
ibm-granite/granite-4.0-350m@robust-r1,C0,SUPPORTED,,,,0.849,0.849
ibm-granite/granite-4.0-350m@robust-r1,C3,AMBIGUOUS,0.705,0.295,,1.0,0.859
ibm-granite/granite-4.0-350m@robust-r1,C3,CONTRADICTORY,0.68,0.32,,0.9875,0.854
ibm-granite/granite-4.0-350m@robust-r1,C3,DISTRACTOR,,,0.0,0.995,0.995
ibm-granite/granite-4.0-350m@robust-r1,C3,MISSING,0.02,0.98,,1.0,0.996
ibm-granite/granite-4.0-350m@robust-r1,C3,SUPPORTED,,,,0.997,0.997
ibm-granite/granite-4.0-350m@robust-r2,C0,AMBIGUOUS,0.64,0.36,,0.93875,0.823
ibm-granite/granite-4.0-350m@robust-r2,C0,CONTRADICTORY,0.975,0.025,,0.96875,0.78
ibm-granite/granite-4.0-350m@robust-r2,C0,DISTRACTOR,,,0.0,0.98875,0.987
ibm-granite/granite-4.0-350m@robust-r2,C0,MISSING,0.245,0.755,,0.98125,0.936
ibm-granite/granite-4.0-350m@robust-r2,C0,SUPPORTED,,,,0.855,0.855
ibm-granite/granite-4.0-350m@robust-r2,C3,AMBIGUOUS,0.71,0.29,,1.0,0.858
ibm-granite/granite-4.0-350m@robust-r2,C3,CONTRADICTORY,0.63,0.37,,0.99125,0.867
ibm-granite/granite-4.0-350m@robust-r2,C3,DISTRACTOR,,,0.0,0.995,0.995
ibm-granite/granite-4.0-350m@robust-r2,C3,MISSING,0.04,0.96,,0.995,0.988
ibm-granite/granite-4.0-350m@robust-r2,C3,SUPPORTED,,,,0.998,0.998
ibm-granite/granite-4.0-350m@robust-r3,C0,AMBIGUOUS,0.64,0.36,,0.94375,0.827
ibm-granite/granite-4.0-350m@robust-r3,C0,CONTRADICTORY,0.98,0.02,,0.96875,0.779
ibm-granite/granite-4.0-350m@robust-r3,C0,DISTRACTOR,,,0.0,0.99125,0.99
ibm-granite/granite-4.0-350m@robust-r3,C0,MISSING,0.245,0.755,,0.985,0.939
ibm-granite/granite-4.0-350m@robust-r3,C0,SUPPORTED,,,,0.848,0.848
ibm-granite/granite-4.0-350m@robust-r3,C3,AMBIGUOUS,0.745,0.255,,1.0,0.851
ibm-granite/granite-4.0-350m@robust-r3,C3,CONTRADICTORY,0.66,0.34,,0.97875,0.851
ibm-granite/granite-4.0-350m@robust-r3,C3,DISTRACTOR,,,0.0,0.9975,0.997
ibm-granite/granite-4.0-350m@robust-r3,C3,MISSING,0.015,0.985,,1.0,0.997
ibm-granite/granite-4.0-350m@robust-r3,C3,SUPPORTED,,,,0.998,0.998
ibm-granite/granite-4.0-h-350m@robust-r1,C0,AMBIGUOUS,0.585,0.415,,0.9975,0.881
ibm-granite/granite-4.0-h-350m@robust-r1,C0,CONTRADICTORY,0.5,0.5,,0.9625,0.87
ibm-granite/granite-4.0-h-350m@robust-r1,C0,DISTRACTOR,,,0.0,1.0,0.998
ibm-granite/granite-4.0-h-350m@robust-r1,C0,MISSING,0.055,0.945,,0.99375,0.984
ibm-granite/granite-4.0-h-350m@robust-r1,C0,SUPPORTED,,,,0.986,0.986
ibm-granite/granite-4.0-h-350m@robust-r1,C3,AMBIGUOUS,0.595,0.405,,0.915,0.813
ibm-granite/granite-4.0-h-350m@robust-r1,C3,CONTRADICTORY,0.47,0.53,,0.905,0.83
ibm-granite/granite-4.0-h-350m@robust-r1,C3,DISTRACTOR,,,0.0,0.96625,0.969
ibm-granite/granite-4.0-h-350m@robust-r1,C3,MISSING,0.0,1.0,,0.9125,0.93
ibm-granite/granite-4.0-h-350m@robust-r1,C3,SUPPORTED,,,,0.991,0.991
ibm-granite/granite-4.0-h-350m@robust-r2,C0,AMBIGUOUS,0.58,0.42,,0.99375,0.879
ibm-granite/granite-4.0-h-350m@robust-r2,C0,CONTRADICTORY,0.48,0.52,,0.95625,0.869
ibm-granite/granite-4.0-h-350m@robust-r2,C0,DISTRACTOR,,,0.0,1.0,0.998
ibm-granite/granite-4.0-h-350m@robust-r2,C0,MISSING,0.035,0.965,,0.98625,0.982
ibm-granite/granite-4.0-h-350m@robust-r2,C0,SUPPORTED,,,,0.985,0.985
ibm-granite/granite-4.0-h-350m@robust-r2,C3,AMBIGUOUS,0.625,0.375,,0.92625,0.816
ibm-granite/granite-4.0-h-350m@robust-r2,C3,CONTRADICTORY,0.46,0.54,,0.895,0.824
ibm-granite/granite-4.0-h-350m@robust-r2,C3,DISTRACTOR,,,0.005,0.9525,0.956
ibm-granite/granite-4.0-h-350m@robust-r2,C3,MISSING,0.0,1.0,,0.92625,0.941
ibm-granite/granite-4.0-h-350m@robust-r2,C3,SUPPORTED,,,,0.99,0.99
ibm-granite/granite-4.0-h-350m@robust-r3,C0,AMBIGUOUS,0.565,0.435,,0.99125,0.88
ibm-granite/granite-4.0-h-350m@robust-r3,C0,CONTRADICTORY,0.48,0.52,,0.975,0.884
ibm-granite/granite-4.0-h-350m@robust-r3,C0,DISTRACTOR,,,0.0,1.0,0.999
ibm-granite/granite-4.0-h-350m@robust-r3,C0,MISSING,0.07,0.93,,0.98875,0.977
ibm-granite/granite-4.0-h-350m@robust-r3,C0,SUPPORTED,,,,0.992,0.992
ibm-granite/granite-4.0-h-350m@robust-r3,C3,AMBIGUOUS,0.62,0.38,,0.91625,0.809
ibm-granite/granite-4.0-h-350m@robust-r3,C3,CONTRADICTORY,0.465,0.535,,0.88125,0.812
ibm-granite/granite-4.0-h-350m@robust-r3,C3,DISTRACTOR,,,0.0,0.9475,0.953
ibm-granite/granite-4.0-h-350m@robust-r3,C3,MISSING,0.0,1.0,,0.9175,0.934
ibm-granite/granite-4.0-h-350m@robust-r3,C3,SUPPORTED,,,,0.992,0.992
tiiuae/Falcon-H1-Tiny-Multilingual-100M-Instruct@robust-r1,C0,AMBIGUOUS,0.9,0.1,,0.7425,0.614
tiiuae/Falcon-H1-Tiny-Multilingual-100M-Instruct@robust-r1,C0,CONTRADICTORY,0.89,0.11,,0.84875,0.701
tiiuae/Falcon-H1-Tiny-Multilingual-100M-Instruct@robust-r1,C0,DISTRACTOR,,,0.0,0.72375,0.716
tiiuae/Falcon-H1-Tiny-Multilingual-100M-Instruct@robust-r1,C0,MISSING,0.815,0.185,,0.71875,0.612
tiiuae/Falcon-H1-Tiny-Multilingual-100M-Instruct@robust-r1,C0,SUPPORTED,,,,0.437,0.437
tiiuae/Falcon-H1-Tiny-Multilingual-100M-Instruct@robust-r1,C3,AMBIGUOUS,0.26,0.74,,0.37,0.444
tiiuae/Falcon-H1-Tiny-Multilingual-100M-Instruct@robust-r1,C3,CONTRADICTORY,0.22,0.78,,0.1575,0.282
tiiuae/Falcon-H1-Tiny-Multilingual-100M-Instruct@robust-r1,C3,DISTRACTOR,,,0.005,0.29375,0.297
tiiuae/Falcon-H1-Tiny-Multilingual-100M-Instruct@robust-r1,C3,MISSING,0.175,0.825,,0.2125,0.335
tiiuae/Falcon-H1-Tiny-Multilingual-100M-Instruct@robust-r1,C3,SUPPORTED,,,,0.24,0.24
tiiuae/Falcon-H1-Tiny-Multilingual-100M-Instruct@robust-r2,C0,AMBIGUOUS,0.895,0.105,,0.74375,0.616
tiiuae/Falcon-H1-Tiny-Multilingual-100M-Instruct@robust-r2,C0,CONTRADICTORY,0.91,0.09,,0.85375,0.701
tiiuae/Falcon-H1-Tiny-Multilingual-100M-Instruct@robust-r2,C0,DISTRACTOR,,,0.01,0.70875,0.706
tiiuae/Falcon-H1-Tiny-Multilingual-100M-Instruct@robust-r2,C0,MISSING,0.82,0.18,,0.71625,0.609
tiiuae/Falcon-H1-Tiny-Multilingual-100M-Instruct@robust-r2,C0,SUPPORTED,,,,0.434,0.434
tiiuae/Falcon-H1-Tiny-Multilingual-100M-Instruct@robust-r2,C3,AMBIGUOUS,0.265,0.735,,0.33,0.411
tiiuae/Falcon-H1-Tiny-Multilingual-100M-Instruct@robust-r2,C3,CONTRADICTORY,0.2,0.8,,0.15125,0.281
tiiuae/Falcon-H1-Tiny-Multilingual-100M-Instruct@robust-r2,C3,DISTRACTOR,,,0.01,0.2825,0.281
tiiuae/Falcon-H1-Tiny-Multilingual-100M-Instruct@robust-r2,C3,MISSING,0.155,0.845,,0.17875,0.312
tiiuae/Falcon-H1-Tiny-Multilingual-100M-Instruct@robust-r2,C3,SUPPORTED,,,,0.25,0.25
tiiuae/Falcon-H1-Tiny-Multilingual-100M-Instruct@robust-r3,C0,AMBIGUOUS,0.915,0.085,,0.755,0.621
tiiuae/Falcon-H1-Tiny-Multilingual-100M-Instruct@robust-r3,C0,CONTRADICTORY,0.935,0.065,,0.87,0.709
tiiuae/Falcon-H1-Tiny-Multilingual-100M-Instruct@robust-r3,C0,DISTRACTOR,,,0.005,0.7375,0.731
tiiuae/Falcon-H1-Tiny-Multilingual-100M-Instruct@robust-r3,C0,MISSING,0.81,0.19,,0.73,0.622
tiiuae/Falcon-H1-Tiny-Multilingual-100M-Instruct@robust-r3,C0,SUPPORTED,,,,0.44,0.44
tiiuae/Falcon-H1-Tiny-Multilingual-100M-Instruct@robust-r3,C3,AMBIGUOUS,0.275,0.725,,0.36875,0.44
tiiuae/Falcon-H1-Tiny-Multilingual-100M-Instruct@robust-r3,C3,CONTRADICTORY,0.205,0.795,,0.15,0.279
tiiuae/Falcon-H1-Tiny-Multilingual-100M-Instruct@robust-r3,C3,DISTRACTOR,,,0.01,0.3025,0.299
