model,condition,challenge_type,false_fill_rate,null_recall,distractor_error_rate,supported_accuracy,field_faithfulness_rate
LiquidAI/LFM2-350M-Extract@int8,C2,SUPPORTED,,,,0.981,0.981
LiquidAI/LFM2-350M-Extract@int8,C3,AMBIGUOUS,0.995,0.005,,0.98875,0.792
LiquidAI/LFM2-350M-Extract@int8,C3,CONTRADICTORY,0.98,0.02,,0.9475,0.762
LiquidAI/LFM2-350M-Extract@int8,C3,DISTRACTOR,,,0.015,0.90625,0.906
LiquidAI/LFM2-350M-Extract@int8,C3,MISSING,0.15,0.85,,0.9675,0.944
LiquidAI/LFM2-350M-Extract@int8,C3,SUPPORTED,,,,0.978,0.978
LiquidAI/LFM2-350M-Extract@int8,C4,AMBIGUOUS,0.68,0.32,,0.6125,0.554
LiquidAI/LFM2-350M-Extract@int8,C4,CONTRADICTORY,0.655,0.345,,0.55125,0.51
LiquidAI/LFM2-350M-Extract@int8,C4,DISTRACTOR,,,0.01,0.51875,0.51
LiquidAI/LFM2-350M-Extract@int8,C4,MISSING,0.615,0.385,,0.56125,0.526
LiquidAI/LFM2-350M-Extract@int8,C4,SUPPORTED,,,,0.61,0.61
LiquidAI/LFM2.5-230M,C0,AMBIGUOUS,1.0,0.0,,0.96125,0.769
LiquidAI/LFM2.5-230M,C0,CONTRADICTORY,1.0,0.0,,0.9925,0.794
LiquidAI/LFM2.5-230M,C0,DISTRACTOR,,,0.0,0.98,0.98
LiquidAI/LFM2.5-230M,C0,MISSING,0.25,0.75,,0.97,0.926
LiquidAI/LFM2.5-230M,C0,SUPPORTED,,,,0.994,0.994
LiquidAI/LFM2.5-230M,C1,AMBIGUOUS,1.0,0.0,,0.95,0.76
LiquidAI/LFM2.5-230M,C1,CONTRADICTORY,1.0,0.0,,0.96875,0.775
LiquidAI/LFM2.5-230M,C1,DISTRACTOR,,,0.0,0.9125,0.907
LiquidAI/LFM2.5-230M,C1,MISSING,0.245,0.755,,0.975,0.931
LiquidAI/LFM2.5-230M,C1,SUPPORTED,,,,0.98,0.98
LiquidAI/LFM2.5-230M,C2,AMBIGUOUS,1.0,0.0,,0.97125,0.777
LiquidAI/LFM2.5-230M,C2,CONTRADICTORY,1.0,0.0,,0.97875,0.783
LiquidAI/LFM2.5-230M,C2,DISTRACTOR,,,0.005,0.8925,0.887
LiquidAI/LFM2.5-230M,C2,MISSING,0.245,0.755,,0.98375,0.938
LiquidAI/LFM2.5-230M,C2,SUPPORTED,,,,0.98,0.98
LiquidAI/LFM2.5-230M,C3,AMBIGUOUS,0.6,0.4,,0.59375,0.555
LiquidAI/LFM2.5-230M,C3,CONTRADICTORY,0.0,1.0,,0.0,0.2
LiquidAI/LFM2.5-230M,C3,DISTRACTOR,,,0.0,0.55125,0.551
LiquidAI/LFM2.5-230M,C3,MISSING,0.155,0.845,,0.5525,0.611
LiquidAI/LFM2.5-230M,C3,SUPPORTED,,,,0.971,0.971
LiquidAI/LFM2.5-230M,C4,AMBIGUOUS,0.26,0.74,,0.3175,0.402
LiquidAI/LFM2.5-230M,C4,CONTRADICTORY,0.1,0.9,,0.11,0.268
LiquidAI/LFM2.5-230M,C4,DISTRACTOR,,,0.0,0.365,0.365
LiquidAI/LFM2.5-230M,C4,MISSING,0.115,0.885,,0.23625,0.366
LiquidAI/LFM2.5-230M,C4,SUPPORTED,,,,0.483,0.483
LiquidAI/LFM2.5-230M,C5,AMBIGUOUS,1.0,0.0,,0.99,0.792
LiquidAI/LFM2.5-230M,C5,CONTRADICTORY,0.905,0.095,,0.98875,0.81
LiquidAI/LFM2.5-230M,C5,DISTRACTOR,,,0.0,0.96875,0.967
LiquidAI/LFM2.5-230M,C5,MISSING,0.245,0.755,,0.9775,0.933
LiquidAI/LFM2.5-230M,C5,SUPPORTED,,,,0.971,0.971
LiquidAI/LFM2.5-230M@int4,C0,AMBIGUOUS,0.995,0.005,,0.94875,0.76
LiquidAI/LFM2.5-230M@int4,C0,CONTRADICTORY,0.995,0.005,,0.96125,0.77
LiquidAI/LFM2.5-230M@int4,C0,DISTRACTOR,,,0.01,0.94,0.934
LiquidAI/LFM2.5-230M@int4,C0,MISSING,0.245,0.755,,0.94375,0.906
LiquidAI/LFM2.5-230M@int4,C0,SUPPORTED,,,,0.964,0.964
LiquidAI/LFM2.5-230M@int4,C1,AMBIGUOUS,0.945,0.055,,0.9325,0.757
LiquidAI/LFM2.5-230M@int4,C1,CONTRADICTORY,0.995,0.005,,0.98625,0.79
LiquidAI/LFM2.5-230M@int4,C1,DISTRACTOR,,,0.005,0.86125,0.865
LiquidAI/LFM2.5-230M@int4,C1,MISSING,0.245,0.755,,0.7425,0.745
LiquidAI/LFM2.5-230M@int4,C1,SUPPORTED,,,,0.942,0.942
LiquidAI/LFM2.5-230M@int4,C2,AMBIGUOUS,0.995,0.005,,0.9425,0.755
LiquidAI/LFM2.5-230M@int4,C2,CONTRADICTORY,0.78,0.22,,0.74125,0.637
LiquidAI/LFM2.5-230M@int4,C2,DISTRACTOR,,,0.0,0.81875,0.796
LiquidAI/LFM2.5-230M@int4,C2,MISSING,0.355,0.645,,0.77375,0.748
LiquidAI/LFM2.5-230M@int4,C2,SUPPORTED,,,,0.928,0.928
LiquidAI/LFM2.5-230M@int4,C3,AMBIGUOUS,0.0,1.0,,0.0,0.2
LiquidAI/LFM2.5-230M@int4,C3,CONTRADICTORY,0.0,1.0,,0.0,0.2
LiquidAI/LFM2.5-230M@int4,C3,DISTRACTOR,,,0.0,0.0,0.0
LiquidAI/LFM2.5-230M@int4,C3,MISSING,0.0,1.0,,0.0,0.2
LiquidAI/LFM2.5-230M@int4,C3,SUPPORTED,,,,0.0,0.0
LiquidAI/LFM2.5-230M@int4,C4,AMBIGUOUS,0.225,0.775,,0.2425,0.349
LiquidAI/LFM2.5-230M@int4,C4,CONTRADICTORY,0.23,0.77,,0.32125,0.411
LiquidAI/LFM2.5-230M@int4,C4,DISTRACTOR,,,0.005,0.11125,0.109
LiquidAI/LFM2.5-230M@int4,C4,MISSING,0.095,0.905,,0.1675,0.315
LiquidAI/LFM2.5-230M@int4,C4,SUPPORTED,,,,0.3,0.3
LiquidAI/LFM2.5-230M@int8,C0,AMBIGUOUS,1.0,0.0,,0.95125,0.761
LiquidAI/LFM2.5-230M@int8,C0,CONTRADICTORY,1.0,0.0,,0.9925,0.794
LiquidAI/LFM2.5-230M@int8,C0,DISTRACTOR,,,0.0,0.99125,0.993
LiquidAI/LFM2.5-230M@int8,C0,MISSING,0.255,0.745,,0.97375,0.928
LiquidAI/LFM2.5-230M@int8,C0,SUPPORTED,,,,0.987,0.987
LiquidAI/LFM2.5-230M@int8,C1,AMBIGUOUS,1.0,0.0,,0.95375,0.763
LiquidAI/LFM2.5-230M@int8,C1,CONTRADICTORY,1.0,0.0,,0.97375,0.779
LiquidAI/LFM2.5-230M@int8,C1,DISTRACTOR,,,0.01,0.925,0.92
LiquidAI/LFM2.5-230M@int8,C1,MISSING,0.245,0.755,,0.9875,0.941
LiquidAI/LFM2.5-230M@int8,C1,SUPPORTED,,,,0.984,0.984
LiquidAI/LFM2.5-230M@int8,C2,AMBIGUOUS,0.655,0.345,,0.635,0.577
LiquidAI/LFM2.5-230M@int8,C2,CONTRADICTORY,0.7,0.3,,0.67875,0.603
LiquidAI/LFM2.5-230M@int8,C2,DISTRACTOR,,,0.015,0.42125,0.414
LiquidAI/LFM2.5-230M@int8,C2,MISSING,0.135,0.865,,0.46875,0.548
LiquidAI/LFM2.5-230M@int8,C2,SUPPORTED,,,,0.295,0.295
LiquidAI/LFM2.5-230M@int8,C3,AMBIGUOUS,0.075,0.925,,0.075,0.245
LiquidAI/LFM2.5-230M@int8,C3,CONTRADICTORY,0.01,0.99,,0.01,0.206
LiquidAI/LFM2.5-230M@int8,C3,DISTRACTOR,,,0.005,0.0775,0.078
LiquidAI/LFM2.5-230M@int8,C3,MISSING,0.015,0.985,,0.075,0.257
LiquidAI/LFM2.5-230M@int8,C3,SUPPORTED,,,,0.089,0.089
LiquidAI/LFM2.5-230M@int8,C4,AMBIGUOUS,0.265,0.735,,0.3325,0.413
LiquidAI/LFM2.5-230M@int8,C4,CONTRADICTORY,0.17,0.83,,0.18,0.31
LiquidAI/LFM2.5-230M@int8,C4,DISTRACTOR,,,0.01,0.2825,0.28
LiquidAI/LFM2.5-230M@int8,C4,MISSING,0.13,0.87,,0.24625,0.371
LiquidAI/LFM2.5-230M@int8,C4,SUPPORTED,,,,0.405,0.405
LiquidAI/LFM2.5-350M,C0,AMBIGUOUS,1.0,0.0,,0.85625,0.685
LiquidAI/LFM2.5-350M,C0,CONTRADICTORY,0.73,0.27,,0.9625,0.824
LiquidAI/LFM2.5-350M,C0,DISTRACTOR,,,0.065,0.83875,0.843
LiquidAI/LFM2.5-350M,C0,MISSING,0.425,0.575,,0.85875,0.802
LiquidAI/LFM2.5-350M,C0,SUPPORTED,,,,0.929,0.929
LiquidAI/LFM2.5-350M,C1,AMBIGUOUS,0.995,0.005,,1.0,0.801
LiquidAI/LFM2.5-350M,C1,CONTRADICTORY,1.0,0.0,,0.99375,0.795
LiquidAI/LFM2.5-350M,C1,DISTRACTOR,,,0.005,0.99375,0.994
LiquidAI/LFM2.5-350M,C1,MISSING,0.245,0.755,,0.99875,0.95
LiquidAI/LFM2.5-350M,C1,SUPPORTED,,,,1.0,1.0
LiquidAI/LFM2.5-350M,C2,AMBIGUOUS,0.975,0.025,,0.975,0.785
LiquidAI/LFM2.5-350M,C2,CONTRADICTORY,1.0,0.0,,0.99375,0.795
LiquidAI/LFM2.5-350M,C2,DISTRACTOR,,,0.0,0.99875,0.999
LiquidAI/LFM2.5-350M,C2,MISSING,0.315,0.685,,0.97875,0.92
LiquidAI/LFM2.5-350M,C2,SUPPORTED,,,,1.0,1.0
LiquidAI/LFM2.5-350M,C3,AMBIGUOUS,1.0,0.0,,1.0,0.8
LiquidAI/LFM2.5-350M,C3,CONTRADICTORY,0.925,0.075,,0.99375,0.81
LiquidAI/LFM2.5-350M,C3,DISTRACTOR,,,0.0,1.0,1.0
LiquidAI/LFM2.5-350M,C3,MISSING,0.25,0.75,,1.0,0.95
LiquidAI/LFM2.5-350M,C3,SUPPORTED,,,,1.0,1.0
LiquidAI/LFM2.5-350M,C4,AMBIGUOUS,0.74,0.26,,0.93125,0.797
LiquidAI/LFM2.5-350M,C4,CONTRADICTORY,0.72,0.28,,0.84875,0.735
LiquidAI/LFM2.5-350M,C4,DISTRACTOR,,,0.02,0.98625,0.985
LiquidAI/LFM2.5-350M,C4,MISSING,0.435,0.565,,0.91375,0.844
LiquidAI/LFM2.5-350M,C4,SUPPORTED,,,,0.8,0.8
LiquidAI/LFM2.5-350M,C5,AMBIGUOUS,1.0,0.0,,1.0,0.8
LiquidAI/LFM2.5-350M,C5,CONTRADICTORY,0.94,0.06,,0.99375,0.807
LiquidAI/LFM2.5-350M,C5,DISTRACTOR,,,0.0,1.0,1.0
LiquidAI/LFM2.5-350M,C5,MISSING,0.25,0.75,,1.0,0.95
LiquidAI/LFM2.5-350M,C5,SUPPORTED,,,,1.0,1.0
LiquidAI/LFM2.5-350M@int4,C0,AMBIGUOUS,0.925,0.075,,0.9125,0.745
LiquidAI/LFM2.5-350M@int4,C0,CONTRADICTORY,0.98,0.02,,0.95,0.764
LiquidAI/LFM2.5-350M@int4,C0,DISTRACTOR,,,0.025,0.945,0.944
LiquidAI/LFM2.5-350M@int4,C0,MISSING,0.285,0.715,,0.9425,0.897
LiquidAI/LFM2.5-350M@int4,C0,SUPPORTED,,,,0.9,0.9
LiquidAI/LFM2.5-350M@int4,C1,AMBIGUOUS,0.985,0.015,,0.9975,0.801
LiquidAI/LFM2.5-350M@int4,C1,CONTRADICTORY,1.0,0.0,,0.98,0.784
LiquidAI/LFM2.5-350M@int4,C1,DISTRACTOR,,,0.0,0.9775,0.979
LiquidAI/LFM2.5-350M@int4,C1,MISSING,0.345,0.655,,0.975,0.911
LiquidAI/LFM2.5-350M@int4,C1,SUPPORTED,,,,0.989,0.989
LiquidAI/LFM2.5-350M@int4,C2,AMBIGUOUS,0.955,0.045,,0.955,0.773
LiquidAI/LFM2.5-350M@int4,C2,CONTRADICTORY,1.0,0.0,,0.98875,0.791
LiquidAI/LFM2.5-350M@int4,C2,DISTRACTOR,,,0.0,0.995,0.995
LiquidAI/LFM2.5-350M@int4,C2,MISSING,0.635,0.365,,0.995,0.869
LiquidAI/LFM2.5-350M@int4,C2,SUPPORTED,,,,0.994,0.994
LiquidAI/LFM2.5-350M@int4,C3,AMBIGUOUS,0.24,0.76,,0.23875,0.343
LiquidAI/LFM2.5-350M@int4,C3,CONTRADICTORY,0.34,0.66,,0.3425,0.406
LiquidAI/LFM2.5-350M@int4,C3,DISTRACTOR,,,0.0,0.97375,0.972
LiquidAI/LFM2.5-350M@int4,C3,MISSING,0.0,1.0,,0.0,0.2
LiquidAI/LFM2.5-350M@int4,C3,SUPPORTED,,,,0.963,0.963
LiquidAI/LFM2.5-350M@int4,C4,AMBIGUOUS,0.09,0.91,,0.33,0.446
LiquidAI/LFM2.5-350M@int4,C4,CONTRADICTORY,0.135,0.865,,0.31875,0.428
LiquidAI/LFM2.5-350M@int4,C4,DISTRACTOR,,,0.0,0.4825,0.455
LiquidAI/LFM2.5-350M@int4,C4,MISSING,0.08,0.92,,0.35,0.464
LiquidAI/LFM2.5-350M@int4,C4,SUPPORTED,,,,0.244,0.244
LiquidAI/LFM2.5-350M@int8,C0,AMBIGUOUS,0.94,0.06,,0.89125,0.725
LiquidAI/LFM2.5-350M@int8,C0,CONTRADICTORY,0.73,0.27,,0.98,0.838
LiquidAI/LFM2.5-350M@int8,C0,DISTRACTOR,,,0.075,0.8875,0.886
LiquidAI/LFM2.5-350M@int8,C0,MISSING,0.395,0.605,,0.9125,0.851
LiquidAI/LFM2.5-350M@int8,C0,SUPPORTED,,,,0.969,0.969
LiquidAI/LFM2.5-350M@int8,C1,AMBIGUOUS,0.97,0.03,,1.0,0.806
LiquidAI/LFM2.5-350M@int8,C1,CONTRADICTORY,1.0,0.0,,0.995,0.796
LiquidAI/LFM2.5-350M@int8,C1,DISTRACTOR,,,0.02,0.9825,0.982
LiquidAI/LFM2.5-350M@int8,C1,MISSING,0.245,0.755,,0.99875,0.95
LiquidAI/LFM2.5-350M@int8,C1,SUPPORTED,,,,1.0,1.0
LiquidAI/LFM2.5-350M@int8,C2,AMBIGUOUS,0.995,0.005,,0.995,0.797
LiquidAI/LFM2.5-350M@int8,C2,CONTRADICTORY,1.0,0.0,,0.99625,0.797
LiquidAI/LFM2.5-350M@int8,C2,DISTRACTOR,,,0.005,0.99375,0.994
LiquidAI/LFM2.5-350M@int8,C2,MISSING,0.285,0.715,,0.99875,0.942
LiquidAI/LFM2.5-350M@int8,C2,SUPPORTED,,,,1.0,1.0
LiquidAI/LFM2.5-350M@int8,C3,AMBIGUOUS,0.89,0.11,,0.89,0.734
LiquidAI/LFM2.5-350M@int8,C3,CONTRADICTORY,0.875,0.125,,0.9975,0.823
LiquidAI/LFM2.5-350M@int8,C3,DISTRACTOR,,,0.0,0.99375,0.994
LiquidAI/LFM2.5-350M@int8,C3,MISSING,0.245,0.755,,0.935,0.899
LiquidAI/LFM2.5-350M@int8,C3,SUPPORTED,,,,1.0,1.0
LiquidAI/LFM2.5-350M@int8,C4,AMBIGUOUS,0.74,0.26,,0.9175,0.786
LiquidAI/LFM2.5-350M@int8,C4,CONTRADICTORY,0.725,0.275,,0.83375,0.722
LiquidAI/LFM2.5-350M@int8,C4,DISTRACTOR,,,0.035,0.96875,0.966
LiquidAI/LFM2.5-350M@int8,C4,MISSING,0.43,0.57,,0.89875,0.833
LiquidAI/LFM2.5-350M@int8,C4,SUPPORTED,,,,0.799,0.799
Qwen/Qwen3-0.6B,C0,AMBIGUOUS,0.24,0.76,,0.98,0.936
Qwen/Qwen3-0.6B,C0,CONTRADICTORY,0.41,0.59,,0.8575,0.804
Qwen/Qwen3-0.6B,C0,DISTRACTOR,,,0.0,0.99875,0.997
Qwen/Qwen3-0.6B,C0,MISSING,0.0,1.0,,0.86875,0.895
Qwen/Qwen3-0.6B,C0,SUPPORTED,,,,0.989,0.989
Qwen/Qwen3-0.6B,C1,AMBIGUOUS,0.93,0.07,,0.9875,0.804
Qwen/Qwen3-0.6B,C1,CONTRADICTORY,1.0,0.0,,0.9925,0.794
Qwen/Qwen3-0.6B,C1,DISTRACTOR,,,0.0,1.0,1.0
Qwen/Qwen3-0.6B,C1,MISSING,0.25,0.75,,0.99375,0.945
Qwen/Qwen3-0.6B,C1,SUPPORTED,,,,0.982,0.982
Qwen/Qwen3-0.6B,C2,AMBIGUOUS,0.855,0.145,,0.99375,0.824
Qwen/Qwen3-0.6B,C2,CONTRADICTORY,1.0,0.0,,0.9975,0.798
Qwen/Qwen3-0.6B,C2,DISTRACTOR,,,0.0,1.0,1.0
Qwen/Qwen3-0.6B,C2,MISSING,0.25,0.75,,0.99875,0.949
Qwen/Qwen3-0.6B,C2,SUPPORTED,,,,0.999,0.999
Qwen/Qwen3-0.6B,C3,AMBIGUOUS,0.215,0.785,,0.79,0.789
Qwen/Qwen3-0.6B,C3,CONTRADICTORY,0.0,1.0,,0.70125,0.761
Qwen/Qwen3-0.6B,C3,DISTRACTOR,,,0.0,0.7575,0.768
Qwen/Qwen3-0.6B,C3,MISSING,0.0,1.0,,0.79,0.832
Qwen/Qwen3-0.6B,C3,SUPPORTED,,,,0.821,0.821
Qwen/Qwen3-0.6B,C4,AMBIGUOUS,0.615,0.385,,0.925,0.817
Qwen/Qwen3-0.6B,C4,CONTRADICTORY,0.73,0.27,,0.81875,0.709
Qwen/Qwen3-0.6B,C4,DISTRACTOR,,,0.0,0.9475,0.942
Qwen/Qwen3-0.6B,C4,MISSING,0.255,0.745,,0.96375,0.92
Qwen/Qwen3-0.6B,C4,SUPPORTED,,,,0.984,0.984
Qwen/Qwen3-0.6B,C5,AMBIGUOUS,0.215,0.785,,0.79,0.789
Qwen/Qwen3-0.6B,C5,CONTRADICTORY,0.0,1.0,,0.6975,0.758
Qwen/Qwen3-0.6B,C5,DISTRACTOR,,,0.0,0.75625,0.736
Qwen/Qwen3-0.6B,C5,MISSING,0.0,1.0,,0.77625,0.821
Qwen/Qwen3-0.6B,C5,SUPPORTED,,,,0.801,0.801
Qwen/Qwen3-0.6B@int4,C0,AMBIGUOUS,0.445,0.555,,0.96,0.879
Qwen/Qwen3-0.6B@int4,C0,CONTRADICTORY,0.13,0.87,,0.37125,0.471
Qwen/Qwen3-0.6B@int4,C0,DISTRACTOR,,,0.0,0.99625,0.996
Qwen/Qwen3-0.6B@int4,C0,MISSING,0.0,1.0,,0.785,0.828
Qwen/Qwen3-0.6B@int4,C0,SUPPORTED,,,,1.0,1.0
Qwen/Qwen3-0.6B@int4,C1,AMBIGUOUS,0.8,0.2,,0.98125,0.825
Qwen/Qwen3-0.6B@int4,C1,CONTRADICTORY,1.0,0.0,,0.97125,0.777
Qwen/Qwen3-0.6B@int4,C1,DISTRACTOR,,,0.005,1.0,0.999
Qwen/Qwen3-0.6B@int4,C1,MISSING,0.25,0.75,,0.9425,0.904
Qwen/Qwen3-0.6B@int4,C1,SUPPORTED,,,,0.946,0.946
Qwen/Qwen3-0.6B@int4,C2,AMBIGUOUS,0.8,0.2,,0.97875,0.823
Qwen/Qwen3-0.6B@int4,C2,CONTRADICTORY,1.0,0.0,,0.98875,0.791
Qwen/Qwen3-0.6B@int4,C2,DISTRACTOR,,,0.005,0.99875,0.998
Qwen/Qwen3-0.6B@int4,C2,MISSING,0.25,0.75,,0.9575,0.916
Qwen/Qwen3-0.6B@int4,C2,SUPPORTED,,,,0.947,0.947
Qwen/Qwen3-0.6B@int4,C3,AMBIGUOUS,0.095,0.905,,0.51,0.589
Qwen/Qwen3-0.6B@int4,C3,CONTRADICTORY,0.0,1.0,,0.50375,0.603
Qwen/Qwen3-0.6B@int4,C3,DISTRACTOR,,,0.0,0.39375,0.348
Qwen/Qwen3-0.6B@int4,C3,MISSING,0.0,1.0,,0.45,0.56
Qwen/Qwen3-0.6B@int4,C3,SUPPORTED,,,,0.467,0.467
Qwen/Qwen3-0.6B@int4,C4,AMBIGUOUS,0.715,0.285,,0.92875,0.8
Qwen/Qwen3-0.6B@int4,C4,CONTRADICTORY,0.73,0.27,,0.81625,0.707
Qwen/Qwen3-0.6B@int4,C4,DISTRACTOR,,,0.0,0.9625,0.956
Qwen/Qwen3-0.6B@int4,C4,MISSING,0.285,0.715,,0.96875,0.918
Qwen/Qwen3-0.6B@int4,C4,SUPPORTED,,,,0.972,0.972
Qwen/Qwen3-0.6B@int8,C0,AMBIGUOUS,0.24,0.76,,0.99125,0.945
Qwen/Qwen3-0.6B@int8,C0,CONTRADICTORY,0.45,0.55,,0.89,0.822
Qwen/Qwen3-0.6B@int8,C0,DISTRACTOR,,,0.0,0.9975,0.995
Qwen/Qwen3-0.6B@int8,C0,MISSING,0.0,1.0,,0.88875,0.911
Qwen/Qwen3-0.6B@int8,C0,SUPPORTED,,,,0.981,0.981
